"","ResponseId","Q71","Q7_4"
"1","R_22o7YIBScQxi8xl","SE Stark and SE 162rd",12
"2","R_2PyXe9kpHduoz9A","39th and Hawthorne",3
"3","R_DvrXRfc1KP8zGrT","SE Flavel Dr. and SE Harney Dr.",7
"4","R_6gvSx549USnJOEN","SW Broadway and 10th",1
"5","R_dpuBKp5jnXuhG6t","NE Wilkins St and NE John Olsen Ave",-7
"6","R_214FTi8siJlDICB","Laurel Rd and Bald Peak Rd",23
"7","R_AL1wi0QshknTXW1","Bethany and Laidlaw",18
"8","R_OvSVleREL3NXP0d","SW College and Fifth",0
"9","R_1rOiXeqIQNFzVBy","SW Farmington & Murray",10
"10","R_56de9K9CxT22XBv","I live outside of Portland",25
"11","R_b7XzcTByOczyxAl","Park Ave & Montgomery",0
"12","R_2Pt9YQZGPEjfONB","SE Powell and 52nd",7
"13","R_BtZD6GVRsMoOShb","N ROSA PARKS AND CURTIS AVE",6
"14","R_3G1b0krIalmVp38","SW Millikan and SW Murray",11
"15","R_1dcvCOuV1CkqW4J","NE Glisan and NE 75th",5
"16","R_3DkmwwCtltCvdka","170th and Bany",13
"17","R_yHZ5JQG1sap4Rgd","SW Broadway",2
"18","R_A6TspML8ewGJfz3","i205",25
"19","R_eJw2UJosWwhGVyh","99E in Canby",-7
"20","R_1psUJoF52LvBzuV","SW broadway",0
"21","R_10IWiXMJQ5U1vYW","174th Ave. and Divison St.",12
"22","R_3fDg3zCDBBE4b4b","11th & Overton",5
"23","R_3g5ag5Yy2zmEe2K","122nd St",30
"24","R_2dY2eOenYnmfIDK","SE Belmont and 11th",3
"25","R_25tDwXnCawrCSTh","13th and Montgomery",0
"26","R_2YhOKcwQEAetJN8","River Rd",25
"27","R_2cors0g40E5tT6w","SW Capital and SW Taylor’s Ferry",6
"28","R_2f26cRIrPnYR5NI","Broadway and 21st",2
"29","R_A0DQgfY976HhrKV","Happy valley",23
"30","R_6xmPzhUrk20Xvr3","5th & Jackson",1
"31","R_1mFcTfdwA3KoZoq","Sexton Mountain and Nova",15
"32","R_e36zdWWkXI3k8et","Hillsboro",18
"33","R_eOJlzHIvQ7HNnyh","Burnside and Division",12
"34","R_3Pvre6FcV2z0HnE","Holcomb and oaktree Oregon city",20
"35","R_29caVYKhAQHpZhg","Sw market and sw park",0
"36","R_6Mg2Rz9vH6jruJX","Sw 6th and jackson",0
"37","R_2EbKY7RkVbH1LXg","SW Broadway",0
"38","R_PMs7gMMc6byRIWt","none, i live in salem",30
"39","R_2VEz8KgLQzPYkta","SW Burlingame",12
"40","R_3Jxe3wF8ZXqYkUm","SE 13th and SE Tacoma",5
"41","R_1NqwLBrkb6STbtD","NW Cornell and NW Murray",8
"42","R_sjnViyGTsbQgpG1","SW Clay",20
"43","R_2UimcSPpgG2oWj0","N Michigan and Rosa Parks",7
"44","R_yI85V6ACMtxMNIl","20th and Jefferson",2
"45","R_1j9D7xWBYpZgDyL","SW Park and SW Market",0
"46","R_Zn3MaGW2txvHQop","clay",5
"47","R_1mx9ikqrzWSOYue","Broadway",2
"48","R_CmC2Y20ylFjvofn","170th and Farmington Rd",8
"49","R_oYPQMiiXadHUcox","Canby, OR",25
"50","R_pmhBSWeQBjYoaPf","SE Belmont and SE 20th",4
"51","R_3s4WrcPRyZ694Wz","Tigard",12
"52","R_3g7Vm357lk0kP9S","Sw 170th and baseline",10
"53","R_ZaZwToI3QSa0Xlf","NW 21st and Johnson St.",2
"54","R_1OD21dsqDMLcKcq","Clay st",3
"55","R_5mpsYCyfWjbpwqt","NE 52nd Ave and Sandy Blvd",-7
"56","R_yVj75sWXSokkZk5","SE powell",6
"57","R_1rP6yRpTKNYSWYl","Tv highway",30
"58","R_3qVQZ5003xucA5b","V st",15
"59","R_Wfxw5Ww4cEQ2obT","Cornelius pass and baseline",23
